x;y
[m];[m]
0;0.013879954
1.00E-06;0.013683014
2.00E-06;0.013561403
3.00E-06;0.015093734
4.00E-06;0.014531235
5.00E-06;0.016455019
6.00E-06;0.014666184
7.00E-06;0.014399935
8.00E-06;0.013954576
9.00E-06;0.012941165
1.00E-05;0.014692976
1.10E-05;0.014865857
1.20E-05;0.014461716
1.30E-05;0.013455595
1.40E-05;0.013465742
1.50E-05;0.014271865
1.60E-05;0.014031643
1.70E-05;0.013437231
1.80E-05;0.015027416
1.90E-05;0.016682992
2.00E-05;0.014063001
2.10E-05;0.014305947
2.20E-05;0.013742683
2.30E-05;0.014403289
2.40E-05;0.013055677
2.50E-05;0.014253406
2.60E-05;0.013941839
2.70E-05;0.014028739
2.80E-05;0.014038857
2.90E-05;0.012303194
3.00E-05;0.013920599
3.10E-05;0.012289454
3.20E-05;0.01330425
3.30E-05;0.014320728
3.40E-05;0.013444531
3.50E-05;0.012383797
3.60E-05;0.013133108
3.70E-05;0.015014393
3.80E-05;0.014369303
3.90E-05;0.013005592
4.00E-05;0.014299707
4.10E-05;0.014042755
4.20E-05;0.01436251
4.30E-05;0.013992154
4.40E-05;0.012903902
4.50E-05;0.013288647
4.60E-05;0.014307867
4.70E-05;0.014079349
4.80E-05;0.011740398
4.90E-05;0.012420467
5.00E-05;0.013540115
5.10E-05;0.012785282
5.20E-05;0.014984219
5.30E-05;0.012475378
5.40E-05;0.014559469
5.50E-05;0.014289293
5.60E-05;0.014970489
5.70E-05;0.014924035
5.80E-05;0.016165848
5.90E-05;0.015448698
6.00E-05;0.015580055
6.10E-05;0.017302141
6.20E-05;0.016093539
6.30E-05;0.016423212
6.40E-05;0.016292743
6.50E-05;0.015505347
6.60E-05;0.016714064
6.70E-05;0.015649135
6.80E-05;0.014192763
6.90E-05;0.0143964
7.00E-05;0.016804106
7.10E-05;0.016758053
7.20E-05;0.015579166
7.30E-05;0.016568451
7.40E-05;0.015953688
7.50E-05;0.017140983
7.60E-05;0.016374856
7.70E-05;0.016816738
7.80E-05;0.01585046
7.90E-05;0.016330752
8.00E-05;0.016643312
8.10E-05;0.015841144
8.20E-05;0.016327255
8.30E-05;0.017850662
8.40E-05;0.018940127
8.50E-05;0.018338626
8.60E-05;0.017519059
8.70E-05;0.016017437
8.80E-05;0.017426876
8.90E-05;0.017234876
9.00E-05;0.015687038
9.10E-05;0.015086148
9.20E-05;0.014518011
9.30E-05;0.013961063
9.40E-05;0.016709535
9.50E-05;0.017382409
9.60E-05;0.016676075
9.70E-05;0.016566445
9.80E-05;0.013854625
9.90E-05;0.01617976
0.0001;0.017865261
0.000101;0.016026341
0.000102;0.016148048
0.000103;0.017153538
0.000104;0.017115472
0.000105;0.016271217
0.000106;0.014546522
0.000107;0.013453933
0.000108;0.013719532
0.000109;0.015741757
0.00011;0.01588779
0.000111;0.01515648
0.000112;0.017416911
0.000113;0.018085553
0.000114;0.016958681
0.000115;0.016852997
0.000116;0.017370456
0.000117;0.017522165
0.000118;0.014859646
0.000119;0.016181327
0.00012;0.014809227
0.000121;0.015375013
0.000122;0.014629638
0.000123;0.015673069
0.000124;0.015903909
0.000125;0.01605554
0.000126;0.015602202
0.000127;0.016394022
0.000128;0.016518748
0.000129;0.01645693
0.00013;0.017075524
0.000131;0.015093954
0.000132;0.015103518
0.000133;0.016409415
0.000134;0.013773497
0.000135;0.013614269
0.000136;0.014401961
0.000137;0.014935758
0.000138;0.016338481
0.000139;0.015743783
0.00014;0.014611637
0.000141;0.015410394
0.000142;0.014683402
0.000143;0.014247492
0.000144;0.01638033
0.000145;0.015104416
0.000146;0.015900593
0.000147;0.015416394
0.000148;0.01544307
0.000149;0.017075696
0.00015;0.018775358
0.000151;0.019419817
0.000152;0.01736158
0.000153;0.016091705
0.000154;0.016230485
0.000155;0.016110212
0.000156;0.014764874
0.000157;0.013946464
0.000158;0.014328295
0.000159;0.013288523
0.00016;0.014627364
0.000161;0.013689769
0.000162;0.014151162
0.000163;0.016426059
0.000164;0.014933437
0.000165;0.01316974
0.000166;0.013256534
0.000167;0.014394088
0.000168;0.014638161
0.000169;0.013811275
0.00017;0.014668277
0.000171;0.015328931
0.000172;0.01401177
0.000173;0.014331505
0.000174;0.015044232
0.000175;0.014892801
0.000176;0.015591329
0.000177;0.014595624
0.000178;0.016601443
0.000179;0.015009472
0.00018;0.015995117
0.000181;0.016668574
0.000182;0.014783907
0.000183;0.01293828
0.000184;0.013748559
0.000185;0.014215426
0.000186;0.015757197
0.000187;0.013673479
0.000188;0.01314764
0.000189;0.01450817
0.00019;0.017463843
0.000191;0.017642132
0.000192;0.016795956
0.000193;0.017953584
0.000194;0.016166641
0.000195;0.014994156
0.000196;0.016922593
0.000197;0.01851101
0.000198;0.016709525
0.000199;0.015929009
0.0002;0.016734577
0.000201;0.016367212
0.000202;0.016854641
0.000203;0.014857296
0.000204;0.014213458
0.000205;0.015015969
0.000206;0.01326607
0.000207;0.014178966
0.000208;0.014107
0.000209;0.014831785
0.00021;0.014635906
0.000211;0.01394868
0.000212;0.01282243
0.000213;0.013183824
0.000214;0.012753923
0.000215;0.012686984
0.000216;0.01482953
0.000217;0.01399545
0.000218;0.01647172
0.000219;0.016211242
0.00022;0.016298467
0.000221;0.014855175
0.000222;0.014777477
0.000223;0.014219353
0.000224;0.012833102
0.000225;0.013489753
0.000226;0.01517964
0.000227;0.013575754
0.000228;0.015242404
0.000229;0.014669013
0.00023;0.013135582
0.000231;0.013541338
0.000232;0.01318799
0.000233;0.011688784
0.000234;0.012845829
0.000235;0.012631252
0.000236;0.013172683
0.000237;0.013465054
0.000238;0.01294364
0.000239;0.012618143
0.00024;0.012444822
0.000241;0.012446121
0.000242;0.014076321
0.000243;0.014006686
0.000244;0.012925582
0.000245;0.012740776
0.000246;0.013419412
0.000247;0.013273398
0.000248;0.013956487
0.000249;0.013794431
0.00025;0.015913654
0.000251;0.014767301
0.000252;0.014478178
0.000253;0.015340587
0.000254;0.01479371
0.000255;0.013970121
0.000256;0.013172588
0.000257;0.014195132
0.000258;0.015306325
0.000259;0.01372323
0.00026;0.014625606
0.000261;0.014837269
0.000262;0.015367684
0.000263;0.014812829
0.000264;0.015493977
0.000265;0.017771636
0.000266;0.017171883
0.000267;0.017072897
0.000268;0.017735061
0.000269;0.015183328
0.00027;0.014344672
0.000271;0.016071401
0.000272;0.016305585
0.000273;0.015343635
0.000274;0.01590839
0.000275;0.012681432
0.000276;0.015293273
0.000277;0.014909091
0.000278;0.01601994
0.000279;0.01519402
0.00028;0.014544659
0.000281;0.015666601
0.000282;0.015766341
0.000283;0.014658846
0.000284;0.01546538
0.000285;0.016422973
0.000286;0.015030808
0.000287;0.016873387
0.000288;0.015885822
0.000289;0.014587665
0.00029;0.013928148
0.000291;0.016187127
0.000292;0.01621817
0.000293;0.015948338
0.000294;0.015540804
0.000295;0.016393478
0.000296;0.016087424
0.000297;0.015226974
0.000298;0.01407246
0.000299;0.014463493
0.0003;0.014567189
0.000301;0.015097614
0.000302;0.015552174
0.000303;0.017982659
0.000304;0.017225465
0.000305;0.015934808
0.000306;0.015262641
0.000307;0.015468017
0.000308;0.014948361
0.000309;0.013990644
0.00031;0.015191631
0.000311;0.014740099
0.000312;0.014780744
0.000313;0.015757236
0.000314;0.016321789
0.000315;0.015614136
0.000316;0.016468319
0.000317;0.015222808
0.000318;0.014559459
0.000319;0.013168078
0.00032;0.014765314
0.000321;0.015128389
0.000322;0.014881574
0.000323;0.014037796
0.000324;0.013701636
0.000325;0.013153402
0.000326;0.012432019
0.000327;0.012803044
0.000328;0.013677234
0.000329;0.01474115
0.00033;0.016486071
0.000331;0.015334587
0.000332;0.015025963
0.000333;0.015409753
0.000334;0.014924627
0.000335;0.014505629
0.000336;0.014424768
0.000337;0.015074835
0.000338;0.014454693
0.000339;0.014157439
0.00034;0.013627636
0.000341;0.011696695
0.000342;0.012305764
0.000343;0.012984495
0.000344;0.0135117
0.000345;0.015507363
0.000346;0.015003921
0.000347;0.014401006
