x [m],y [m]
0,0.0089010813
1e-06,0.0080325379
2e-06,0.0089222066
3e-06,0.0074823544
4e-06,0.0076660037
5e-06,0.0083914762
6e-06,0.0080212444
7e-06,0.0082128718
8e-06,0.0082280827
9e-06,0.0080662084
1e-05,0.0073463636
1.1e-05,0.0081266605
1.2e-05,0.0086353769
1.3e-05,0.0076306707
1.4e-05,0.008526569
1.5e-05,0.0083214313
1.6e-05,0.0085058832
1.7e-05,0.0083791794
1.8e-05,0.0080513032
1.9e-05,0.0077737416
2e-05,0.0071520322
2.1e-05,0.0079035028
2.2e-05,0.0072958961
2.3e-05,0.0079035219
2.4e-05,0.0073654441
2.5e-05,0.0066354427
2.6e-05,0.0068298792
2.7e-05,0.0069854952
2.8e-05,0.0065809718
2.9e-05,0.006985543
3e-05,0.0063182199
3.1e-05,0.0071825974
3.2e-05,0.0069705327
3.3e-05,0.007820435
3.4e-05,0.0080696767
3.5e-05,0.0078761193
3.6e-05,0.0085621981
3.7e-05,0.0078043928
3.8e-05,0.0067298137
3.9e-05,0.0076567071
4e-05,0.0080321749
4.1e-05,0.0085699278
4.2e-05,0.0079010473
4.3e-05,0.0077128118
4.4e-05,0.0082017024
4.5e-05,0.0067979859
4.6e-05,0.0075995322
4.7e-05,0.0082834231
4.8e-05,0.0091257486
4.9e-05,0.0089018934
5e-05,0.0073023359
5.1e-05,0.0075075882
5.2e-05,0.0068828595
5.3e-05,0.0071530259
5.4e-05,0.0074561174
5.5e-05,0.0079858063
5.6e-05,0.007370059
5.7e-05,0.0074893771
5.8e-05,0.0080402581
5.9e-05,0.0087219513
6e-05,0.011383485
6.1e-05,0.01122894
6.2e-05,0.009270243
6.3e-05,0.0091658588
6.4e-05,0.0097931481
6.5e-05,0.0095815898
6.6e-05,0.0085543251
6.7e-05,0.0090926323
6.8e-05,0.0080715781
6.9e-05,0.0091281754
7e-05,0.0085539716
7.1e-05,0.0083630799
7.2e-05,0.0080570933
7.3e-05,0.0098184774
7.4e-05,0.0092452864
7.5e-05,0.0085577457
7.6e-05,0.010347612
7.7e-05,0.01010481
7.8e-05,0.0094546089
7.9e-05,0.0082888597
8e-05,0.0095634169
8.1e-05,0.0088253514
8.2e-05,0.0086738343
8.3e-05,0.0084668144
8.4e-05,0.0088238513
8.5e-05,0.0086076017
8.6e-05,0.0085502071
8.7e-05,0.0078759473
8.8e-05,0.0087545899
8.9e-05,0.0074645446
9e-05,0.0077001041
9.1e-05,0.0086625789
9.2e-05,0.0076218327
9.3e-05,0.0066753428
9.4e-05,0.0075878661
9.5e-05,0.0072480274
9.6e-05,0.0063822549
9.7e-05,0.0069925179
9.8e-05,0.0067789148
9.9e-05,0.0069562199
0.0001,0.007126464
0.000101,0.0078587299
0.000102,0.007000945
0.000103,0.0064789859
0.000104,0.007281545
0.000105,0.0062396905
0.000106,0.0064603257
0.000107,0.0068310735
0.000108,0.0072953037
0.000109,0.005559096
0.00011,0.0048768294
0.000111,0.0053774149
0.000112,0.0052007023
0.000113,0.0071761576
0.000114,0.0078486307
0.000115,0.0066025557
0.000116,0.0078816037
0.000117,0.0082002119
0.000118,0.0085155621
0.000119,0.0083839568
0.00012,0.0074797556
0.000121,0.0071081192
0.000122,0.0069601277
0.000123,0.0069944192
0.000124,0.0067887465
0.000125,0.0069815205
0.000126,0.0075153943
0.000127,0.0081093857
0.000128,0.0068214233
0.000129,0.0064049567
0.00013,0.0062346647
0.000131,0.0065973293
0.000132,0.00625107
0.000133,0.0069875877
0.000134,0.0085739885
0.000135,0.0066343917
