x [m],y [m]
0,0.020735554
1e-06,0.021549971
2e-06,0.01949054
3e-06,0.019808909
4e-06,0.019889416
5e-06,0.019427651
6e-06,0.021630029
7e-06,0.021609056
8e-06,0.020539952
9e-06,0.019440053
1e-05,0.019737785
1.1e-05,0.020129534
1.2e-05,0.020046647
1.3e-05,0.020395974
1.4e-05,0.018091582
1.5e-05,0.018225528
1.6e-05,0.018224458
1.7e-05,0.017222455
1.8e-05,0.018409072
1.9e-05,0.017544857
2e-05,0.017615934
2.1e-05,0.017367141
2.2e-05,0.017187514
2.3e-05,0.016697792
2.4e-05,0.016749913
2.5e-05,0.017765263
2.6e-05,0.01818192
2.7e-05,0.018961396
2.8e-05,0.017616421
2.9e-05,0.01825873
3e-05,0.018623134
3.1e-05,0.016630298
3.2e-05,0.017370294
3.3e-05,0.016651471
3.4e-05,0.018157346
3.5e-05,0.015864802
3.6e-05,0.015956679
3.7e-05,0.017288315
3.8e-05,0.016813126
3.9e-05,0.01595215
4e-05,0.017321298
4.1e-05,0.016088714
4.2e-05,0.017553943
4.3e-05,0.016208777
4.4e-05,0.016355259
4.5e-05,0.016857555
4.6e-05,0.017033207
4.7e-05,0.017821922
4.8e-05,0.017398518
4.9e-05,0.017643288
5e-05,0.017965948
5.1e-05,0.017633858
5.2e-05,0.017692619
5.3e-05,0.018232493
5.4e-05,0.017667299
5.5e-05,0.019448242
5.6e-05,0.019948206
5.7e-05,0.019246849
5.8e-05,0.019793861
5.9e-05,0.019090297
6e-05,0.019465297
6.1e-05,0.018699647
6.2e-05,0.018707357
6.3e-05,0.019108002
6.4e-05,0.019101763
6.5e-05,0.01898169
6.6e-05,0.020781359
6.7e-05,0.020442772
6.8e-05,0.020298641
6.9e-05,0.018759057
7e-05,0.018367614
7.1e-05,0.01866997
7.2e-05,0.017407786
7.3e-05,0.017751877
7.4e-05,0.017219331
7.5e-05,0.016014618
7.6e-05,0.016676696
7.7e-05,0.016501273
7.8e-05,0.01743516
7.9e-05,0.017537586
8e-05,0.019207054
8.1e-05,0.019190678
8.2e-05,0.018132982
8.3e-05,0.016837968
8.4e-05,0.016303855
8.5e-05,0.016959808
8.6e-05,0.017786273
8.7e-05,0.016635773
8.8e-05,0.015786033
8.9e-05,0.016347568
9e-05,0.016557349
9.1e-05,0.017188718
9.2e-05,0.018983667
9.3e-05,0.019036944
9.4e-05,0.018868601
9.5e-05,0.019437464
9.6e-05,0.019179145
9.7e-05,0.018495312
9.8e-05,0.018251029
9.9e-05,0.017468764
0.0001,0.019163447
0.000101,0.017712464
0.000102,0.016473459
0.000103,0.015683627
0.000104,0.016330904
0.000105,0.020148232
0.000106,0.01758061
0.000107,0.016738485
0.000108,0.015502099
0.000109,0.015734496
0.00011,0.017085203
0.000111,0.016846701
0.000112,0.016878986
0.000113,0.017223172
0.000114,0.016870024
0.000115,0.01765334
0.000116,0.018211014
0.000117,0.01804484
0.000118,0.017228064
0.000119,0.015345049
0.00012,0.016302881
0.000121,0.016459232
0.000122,0.016253292
0.000123,0.015433296
0.000124,0.016238196
0.000125,0.015811707
0.000126,0.016678673
0.000127,0.018272708
0.000128,0.018272565
0.000129,0.019017338
0.00013,0.017448422
0.000131,0.016496887
0.000132,0.017008938
0.000133,0.018049866
0.000134,0.019514923
0.000135,0.017195435
0.000136,0.016650029
0.000137,0.017148159
0.000138,0.017903298
0.000139,0.01618555
0.00014,0.018207871
0.000141,0.018192899
0.000142,0.018248573
0.000143,0.018428735
0.000144,0.01733585
0.000145,0.01923803
0.000146,0.017404423
0.000147,0.015885172
0.000148,0.016154536
0.000149,0.016095125
0.00015,0.017238593
0.000151,0.017293857
0.000152,0.017913933
0.000153,0.017491351
0.000154,0.016778806
0.000155,0.016359033
0.000156,0.017056272
0.000157,0.018119252
0.000158,0.017365154
0.000159,0.019026912
0.00016,0.020152837
0.000161,0.018889898
0.000162,0.019670711
0.000163,0.01731461
0.000164,0.017207101
0.000165,0.017283137
0.000166,0.01741757
0.000167,0.019278982
0.000168,0.020125033
0.000169,0.018900858
0.00017,0.01773401
0.000171,0.017181198
0.000172,0.018003517
0.000173,0.016941913
0.000174,0.017702164
0.000175,0.017399741
0.000176,0.01930175
0.000177,0.019710745
0.000178,0.018480177
0.000179,0.017476923
0.00018,0.015831141
0.000181,0.016019252
0.000182,0.017165529
0.000183,0.017764135
0.000184,0.017153996
0.000185,0.018103821
0.000186,0.016933189
0.000187,0.015238563
0.000188,0.016362798
0.000189,0.016754002
0.00019,0.017103032
0.000191,0.019187993
0.000192,0.01642647
0.000193,0.016863087
0.000194,0.016018124
0.000195,0.015392565
0.000196,0.014978706
0.000197,0.015712587
0.000198,0.015009749
0.000199,0.015224021
0.0002,0.016266325
0.000201,0.014899327
0.000202,0.014435928
0.000203,0.015657333
0.000204,0.015393902
0.000205,0.015563678
0.000206,0.014698957
0.000207,0.013935696
0.000208,0.0130258
0.000209,0.014616711
0.00021,0.015472986
0.000211,0.013789367
0.000212,0.013889547
0.000213,0.015728925
0.000214,0.015731515
0.000215,0.015301605
0.000216,0.015667155
0.000217,0.014892476
0.000218,0.016413246
0.000219,0.017260683
0.00022,0.016884728
0.000221,0.018058331
0.000222,0.017375215
0.000223,0.01748042
0.000224,0.017184304
0.000225,0.016152797
0.000226,0.01453841
0.000227,0.014275104
0.000228,0.014665621
0.000229,0.014702712
0.00023,0.014662105
0.000231,0.014351178
0.000232,0.014278171
0.000233,0.015313013
0.000234,0.014443094
0.000235,0.015167821
0.000236,0.015473206
0.000237,0.015959469
0.000238,0.016336198
0.000239,0.017611433
0.00024,0.016658905
0.000241,0.016773694
0.000242,0.017709158
0.000243,0.018095164
0.000244,0.017585961
0.000245,0.016939686
0.000246,0.015669199
0.000247,0.015829268
0.000248,0.014776196
0.000249,0.015684238
0.00025,0.01528432
0.000251,0.014811653
0.000252,0.01512623
0.000253,0.014979413
0.000254,0.015728457
0.000255,0.015323848
0.000256,0.015363337
0.000257,0.014313686
0.000258,0.013763149
