x [m],y [m]
0,0.006516354
1e-06,0.0069074244
2e-06,0.0063318161
3e-06,0.0062389834
4e-06,0.0059491537
5e-06,0.006852237
6e-06,0.0066894645
7e-06,0.006587555
8e-06,0.0060748064
9e-06,0.0070598875
1e-05,0.0068206972
1.1e-05,0.0059362072
1.2e-05,0.0056477533
1.3e-05,0.0058296254
1.4e-05,0.0056717831
1.5e-05,0.005868484
1.6e-05,0.0058784017
1.7e-05,0.0061667887
1.8e-05,0.0059078395
1.9e-05,0.0057327703
2e-05,0.0051064556
2.1e-05,0.0053826127
2.2e-05,0.005499886
2.3e-05,0.005704737
2.4e-05,0.0060510059
2.5e-05,0.0062079023
2.6e-05,0.0056828187
2.7e-05,0.0056065442
2.8e-05,0.005251208
2.9e-05,0.0051322817
3e-05,0.0052733365
3.1e-05,0.0056800766
3.2e-05,0.0058509418
3.3e-05,0.0059612976
3.4e-05,0.005992245
3.5e-05,0.0052398285
3.6e-05,0.0056459092
3.7e-05,0.0057058549
3.8e-05,0.0058040955
3.9e-05,0.0061385644
4e-05,0.0055197692
4.1e-05,0.0058478652
4.2e-05,0.0053192082
4.3e-05,0.0054303953
4.4e-05,0.0052890825
4.5e-05,0.0054743848
4.6e-05,0.0055527899
4.7e-05,0.0053191509
4.8e-05,0.0056911504
4.9e-05,0.0052835504
5e-05,0.005420984
5.1e-05,0.0059597497
5.2e-05,0.0053637901
5.3e-05,0.0052234327
5.4e-05,0.0060076948
5.5e-05,0.0050395637
5.6e-05,0.0056556932
5.7e-05,0.0060739752
5.8e-05,0.006025925
5.9e-05,0.0061144772
6e-05,0.0060516652
6.1e-05,0.0059126646
6.2e-05,0.006338619
6.3e-05,0.0070175319
6.4e-05,0.0068259045
6.5e-05,0.0064314994
6.6e-05,0.0064367067
6.7e-05,0.0068278918
6.8e-05,0.0063134043
6.9e-05,0.0060247689
7e-05,0.0059740243
7.1e-05,0.006071233
7.2e-05,0.0063681332
7.3e-05,0.007131442
7.4e-05,0.0068751107
7.5e-05,0.0072586044
7.6e-05,0.0066675844
7.7e-05,0.0069651821
7.8e-05,0.0065832745
7.9e-05,0.0070846339
8e-05,0.006826086
8.1e-05,0.0068354113
8.2e-05,0.0066123492
8.3e-05,0.0065922272
8.4e-05,0.0068515777
8.5e-05,0.0065591204
8.6e-05,0.0070699867
8.7e-05,0.006065634
8.8e-05,0.0053033571
8.9e-05,0.006133252
9e-05,0.006205676
9.1e-05,0.0062634433
9.2e-05,0.0064236264
9.3e-05,0.0062229603
9.4e-05,0.0064179892
9.5e-05,0.0066538258
9.6e-05,0.0063830766
9.7e-05,0.006017259
9.8e-05,0.0063040026
9.9e-05,0.0058389316
0.0001,0.0058920935
0.000101,0.0059976243
0.000102,0.0056309372
0.000103,0.0055571564
0.000104,0.0060428176
0.000105,0.0059088714
0.000106,0.0053155297
0.000107,0.005525158
0.000108,0.0057036573
0.000109,0.0050800944
0.00011,0.0047227804
0.000111,0.0047715376
0.000112,0.0050521471
0.000113,0.0053374575
0.000114,0.0055689564
0.000115,0.0049727005
0.000116,0.0050554817
0.000117,0.0058893036
0.000118,0.0058893131
0.000119,0.0056403389
0.00012,0.0053202688
0.000121,0.0051256317
0.000122,0.0052460676
0.000123,0.0054109803
0.000124,0.0053677552
0.000125,0.005543799
0.000126,0.005436023
0.000127,0.0052605238
0.000128,0.0052462683
0.000129,0.0052709478
0.00013,0.0051211219
0.000131,0.0051960492
0.000132,0.0051670509
0.000133,0.0054948699
0.000134,0.005476439
0.000135,0.0049806499
0.000136,0.0047024099
0.000137,0.0046524775
0.000138,0.0048570992
0.000139,0.0051325683
0.00014,0.004787188
0.000141,0.0046009303
0.000142,0.0043290346
0.000143,0.0045127508
0.000144,0.0042834782
0.000145,0.0045397234
0.000146,0.0045870379
0.000147,0.0046649463
0.000148,0.0046622805
0.000149,0.0048087719
0.00015,0.0049490528
0.000151,0.0048072814
0.000152,0.0050776866
0.000153,0.0053484836
0.000154,0.004945059
0.000155,0.0052408699
0.000156,0.0048818743
0.000157,0.0051583753
0.000158,0.0048455094
0.000159,0.0053163705
0.00016,0.0051797395
0.000161,0.0052765373
0.000162,0.0054221783
0.000163,0.0052052216
0.000164,0.0053110008
0.000165,0.0062020453
0.000166,0.0060982726
0.000167,0.0058401546
0.000168,0.0057447804
0.000169,0.0064115207
0.00017,0.0059068745
0.000171,0.0057936236
0.000172,0.0062342157
0.000173,0.0056328385
0.000174,0.0060114976
0.000175,0.00633259
0.000176,0.0062112273
0.000177,0.0060972311
0.000178,0.0063575371
0.000179,0.0059495359
0.00018,0.0063193473
0.000181,0.0062297632
0.000182,0.0056923829
0.000183,0.0058090448
0.000184,0.006348164
0.000185,0.0058279056
0.000186,0.0061839679
0.000187,0.0066013232
0.000188,0.0061695309
0.000189,0.0066921398
0.00019,0.0063896597
0.000191,0.0062261898
0.000192,0.0062088482
0.000193,0.006291744
0.000194,0.0062510414
0.000195,0.0066742536
0.000196,0.0063154013
0.000197,0.0062771159
0.000198,0.0067313806
0.000199,0.0071667368
0.0002,0.0065798731
0.000201,0.0066206808
0.000202,0.0062461398
0.000203,0.0060741472
0.000204,0.0060759912
0.000205,0.0059270443
0.000206,0.0058129526
0.000207,0.0054926341
0.000208,0.0052013234
0.000209,0.0051570186
0.00021,0.0049536103
0.000211,0.005320928
0.000212,0.0051903738
