x;y
[m];[m]
0;0.010604899
1.00E-06;0.011799627
2.00E-06;0.010361342
3.00E-06;0.010558014
4.00E-06;0.011572896
5.00E-06;0.012886618
6.00E-06;0.013410889
7.00E-06;0.01244422
8.00E-06;0.012987467
9.00E-06;0.012826051
1.00E-05;0.013408778
1.10E-05;0.014825412
1.20E-05;0.012968195
1.30E-05;0.012198026
1.40E-05;0.013791784
1.50E-05;0.013360431
1.60E-05;0.012398587
1.70E-05;0.014401971
1.80E-05;0.01473472
1.90E-05;0.014725394
2.00E-05;0.013698101
2.10E-05;0.010710754
2.20E-05;0.010896038
2.30E-05;0.011284949
2.40E-05;0.011706556
2.50E-05;0.009472667
2.60E-05;0.009886
2.70E-05;0.009491901
2.80E-05;0.01027966
2.90E-05;0.010075812
3.00E-05;0.010497801
3.10E-05;0.009678321
3.20E-05;0.008495994
3.30E-05;0.00992268
3.40E-05;0.011543974
3.50E-05;0.011302329
3.60E-05;0.009866575
3.70E-05;0.010123442
3.80E-05;0.009691745
3.90E-05;0.009472199
4.00E-05;0.009353024
4.10E-05;0.009318704
4.20E-05;0.009348897
4.30E-05;0.011510657
4.40E-05;0.012710564
4.50E-05;0.009944073
4.60E-05;0.009104537
4.70E-05;0.01060615
4.80E-05;0.011444664
4.90E-05;0.011358854
5.00E-05;0.011015948
5.10E-05;0.010261965
5.20E-05;0.009356913
5.30E-05;0.00991132
5.40E-05;0.009727432
5.50E-05;0.010155125
5.60E-05;0.010311438
5.70E-05;0.010879871
5.80E-05;0.010298224
5.90E-05;0.009957287
6.00E-05;0.010125744
6.10E-05;0.009753372
6.20E-05;0.010565935
6.30E-05;0.010963837
6.40E-05;0.011248784
6.50E-05;0.012655606
6.60E-05;0.010880903
6.70E-05;0.010582493
6.80E-05;0.01155694
6.90E-05;0.01034829
7.00E-05;0.012733524
7.10E-05;0.013756193
7.20E-05;0.012200472
7.30E-05;0.01233716
7.40E-05;0.012129118
7.50E-05;0.010919637
7.60E-05;0.013144631
7.70E-05;0.012533661
7.80E-05;0.011914225
7.90E-05;0.010699872
8.00E-05;0.009484935
8.10E-05;0.011715279
8.20E-05;0.011975279
8.30E-05;0.011380944
8.40E-05;0.01051133
8.50E-05;0.009999815
8.60E-05;0.009593008
8.70E-05;0.010397009
8.80E-05;0.010560814
8.90E-05;0.009337603
9.00E-05;0.011112249
9.10E-05;0.011531792
9.20E-05;0.011942488
9.30E-05;0.011164169
9.40E-05;0.012771399
9.50E-05;0.01092495
9.60E-05;0.010945712
9.70E-05;0.010951579
9.80E-05;0.009959609
9.90E-05;0.010737976
0.0001;0.011339859
0.000101;0.01353443
0.000102;0.0123569
0.000103;0.01172856
0.000104;0.008942195
0.000105;0.008416739
0.000106;0.010572021
0.000107;0.009606843
0.000108;0.008770135
0.000109;0.009097438
0.00011;0.009541279
0.000111;0.009510465
0.000112;0.009091562
0.000113;0.009490095
0.000114;0.008737822
0.000115;0.00930827
0.000116;0.009135485
0.000117;0.008535512
0.000118;0.010103033
0.000119;0.010121301
0.00012;0.010106664
0.000121;0.011308701
0.000122;0.010880846
0.000123;0.011320129
0.000124;0.013121002
0.000125;0.010949285
0.000126;0.010351883
0.000127;0.010368413
0.000128;0.011568988
0.000129;0.011410515
0.00013;0.008952581
0.000131;0.008763657
0.000132;0.010072926
0.000133;0.011294121
0.000134;0.010781115
0.000135;0.011174278
0.000136;0.010364323
0.000137;0.010222351
0.000138;0.011396174
0.000139;0.012644485
0.00014;0.012880627
0.000141;0.012292588
0.000142;0.010038377
0.000143;0.010533182
0.000144;0.011929876
0.000145;0.011887329
0.000146;0.012287027
0.000147;0.008974575
0.000148;0.010007028
0.000149;0.011105226
0.00015;0.010875925
0.000151;0.009866958
0.000152;0.011626287
0.000153;0.010779968
0.000154;0.011349232
0.000155;0.011530579
0.000156;0.014193068
0.000157;0.012181449
0.000158;0.010777407
0.000159;0.009579727
0.00016;0.011004664
0.000161;0.011652305
0.000162;0.010190754
0.000163;0.011197763
0.000164;0.011800153
0.000165;0.012557882
0.000166;0.01155544
0.000167;0.012355811
0.000168;0.011977821
0.000169;0.011998583
0.00017;0.01056346
0.000171;0.011364099
0.000172;0.010179355
0.000173;0.011377428
0.000174;0.011618147
0.000175;0.011049972
0.000176;0.01042103
0.000177;0.011354822
0.000178;0.011736911
0.000179;0.011130135
0.00018;0.010715551
0.000181;0.009327647
0.000182;0.00849994
0.000183;0.008882335
0.000184;0.009489703
0.000185;0.011081655
0.000186;0.01133082
0.000187;0.011129887
0.000188;0.010328876
0.000189;0.00872026
0.00019;0.008695074
0.000191;0.008111813
0.000192;0.008259355
0.000193;0.00947583
0.000194;0.010878161
0.000195;0.010094004
0.000196;0.008680112
0.000197;0.008716849
0.000198;0.009501618
0.000199;0.008581518
0.0002;0.009504541
0.000201;0.009720438
0.000202;0.010695352
0.000203;0.010312528
0.000204;0.009932884
0.000205;0.009530807
0.000206;0.010151972
0.000207;0.010158727
0.000208;0.011738268
0.000209;0.012161031
0.00021;0.010549234
0.000211;0.009965599
0.000212;0.010347173
0.000213;0.011586215
0.000214;0.012566385
0.000215;0.011738975
0.000216;0.011009881
0.000217;0.00997202
0.000218;0.009751853
0.000219;0.010772286
0.00022;0.010165568
0.000221;0.01016917
0.000222;0.011345764
0.000223;0.011254479
0.000224;0.011358997
0.000225;0.010966952
0.000226;0.01175023
0.000227;0.010920507
0.000228;0.010937466
0.000229;0.012123137
0.00023;0.012546884
0.000231;0.011759144
0.000232;0.011549698
0.000233;0.011751262
0.000234;0.012554939
0.000235;0.012389491
0.000236;0.012361582
0.000237;0.01121777
0.000238;0.011001205
0.000239;0.012202393
0.00024;0.013142481
0.000241;0.012136399
0.000242;0.012486279
0.000243;0.012500936
0.000244;0.010748581
0.000245;0.010397631
0.000246;0.012142944
0.000247;0.01093932
0.000248;0.011969088
0.000249;0.011765718
0.00025;0.010980902
0.000251;0.00933231
0.000252;0.009690369
0.000253;0.009299423
0.000254;0.009919947
0.000255;0.011124966
0.000256;0.011178482
0.000257;0.010008576
