x;y
[m];[m]
0;0.004253095
1.00E-06;0.004307403
2.00E-06;0.004006786
3.00E-06;0.003749423
4.00E-06;0.003242961
5.00E-06;0.003685646
6.00E-06;0.003468211
7.00E-06;0.003762494
8.00E-06;0.00348734
9.00E-06;0.003961889
1.00E-05;0.004065241
1.10E-05;0.004040676
1.20E-05;0.003623312
1.30E-05;0.003683706
1.40E-05;0.004150679
1.50E-05;0.003694255
1.60E-05;0.003900883
1.70E-05;0.003606075
1.80E-05;0.003822181
1.90E-05;0.003865082
2.00E-05;0.003888137
2.10E-05;0.003272466
2.20E-05;0.003332689
2.30E-05;0.003600304
2.40E-05;0.003602731
2.50E-05;0.002705925
2.60E-05;0.00284977
2.70E-05;0.003617378
2.80E-05;0.003507318
2.90E-05;0.002566991
3.00E-05;0.002509711
3.10E-05;0.002584734
3.20E-05;0.002421255
3.30E-05;0.002685125
3.40E-05;0.002562032
3.50E-05;0.002906314
3.60E-05;0.002736309
3.70E-05;0.003301206
3.80E-05;0.003001487
3.90E-05;0.002873828
4.00E-05;0.003212759
4.10E-05;0.003235394
4.20E-05;0.003385306
4.30E-05;0.003010908
4.40E-05;0.002516744
4.50E-05;0.002698348
4.60E-05;0.003223441
4.70E-05;0.002737532
4.80E-05;0.002940739
4.90E-05;0.003052452
5.00E-05;0.003114863
5.10E-05;0.003553028
5.20E-05;0.003700914
5.30E-05;0.003754573
5.40E-05;0.003486126
5.50E-05;0.003179929
5.60E-05;0.003207475
5.70E-05;0.003334198
5.80E-05;0.003191806
5.90E-05;0.00340516
6.00E-05;0.003367477
6.10E-05;0.003678203
6.20E-05;0.003427843
6.30E-05;0.004106412
6.40E-05;0.004192585
6.50E-05;0.003505876
6.60E-05;0.003365031
6.70E-05;0.003280482
6.80E-05;0.003144444
6.90E-05;0.003680697
7.00E-05;0.003503841
7.10E-05;0.003782539
7.20E-05;0.003367238
7.30E-05;0.00338521
7.40E-05;0.003290027
7.50E-05;0.003136198
7.60E-05;0.003223298
7.70E-05;0.002897562
7.80E-05;0.003218931
7.90E-05;0.003484101
8.00E-05;0.004223752
8.10E-05;0.003981017
8.20E-05;0.003137755
8.30E-05;0.002879829
8.40E-05;0.003161183
8.50E-05;0.003360932
8.60E-05;0.003892331
8.70E-05;0.004001407
8.80E-05;0.003919677
8.90E-05;0.003764729
9.00E-05;0.003850004
9.10E-05;0.003488095
9.20E-05;0.003491095
9.30E-05;0.003515879
9.40E-05;0.004190044
9.50E-05;0.003264908
9.60E-05;0.003704583
9.70E-05;0.003205326
9.80E-05;0.003347126
9.90E-05;0.003523676
0.0001;0.003322589
0.000101;0.00340731
0.000102;0.003422636
0.000103;0.003344966
0.000104;0.003459803
0.000105;0.003732358
0.000106;0.00362657
0.000107;0.004123859
0.000108;0.003335116
0.000109;0.003375149
0.00011;0.003378178
0.000111;0.002957202
0.000112;0.003008931
0.000113;0.00319108
0.000114;0.003081574
0.000115;0.00312694
0.000116;0.003092123
0.000117;0.002976617
0.000118;0.002905005
0.000119;0.003371022
0.00012;0.003105929
0.000121;0.002933334
0.000122;0.002979923
0.000123;0.003261727
0.000124;0.00352595
0.000125;0.003455351
0.000126;0.002600624
0.000127;0.002955339
0.000128;0.003017061
0.000129;0.002940433
0.00013;0.003022049
0.000131;0.003051124
0.000132;0.002977037
0.000133;0.003163505
0.000134;0.003199421
0.000135;0.002906362
0.000136;0.003160992
0.000137;0.003005606
0.000138;0.003121073
0.000139;0.003038168
0.00014;0.002613369
0.000141;0.002515415
0.000142;0.002455059
0.000143;0.002456148
0.000144;0.002530989
0.000145;0.002948679
0.000146;0.003361668
0.000147;0.004041813
0.000148;0.003500774
0.000149;0.003206587
0.00015;0.003470342
0.000151;0.003251876
0.000152;0.003316914
0.000153;0.00347574
0.000154;0.003410588
0.000155;0.002937586
0.000156;0.002948469
0.000157;0.002683787
0.000158;0.002705036
0.000159;0.003110926
0.00016;0.002744774
0.000161;0.002729554
0.000162;0.002750115
0.000163;0.002710807
0.000164;0.002864398
0.000165;0.003110076
0.000166;0.002444883
0.000167;0.002860433
0.000168;0.002630606
0.000169;0.003088731
0.00017;0.003462546
0.000171;0.003096575
0.000172;0.002999758
0.000173;0.003525186
0.000174;0.003275638
0.000175;0.002757539
0.000176;0.002943902
0.000177;0.003442529
0.000178;0.003309519
0.000179;0.002982694
0.00018;0.003288011
0.000181;0.00434522
0.000182;0.004376158
0.000183;0.003465727
0.000184;0.003713803
0.000185;0.003530106
0.000186;0.003525912
0.000187;0.004253314
0.000188;0.003618257
0.000189;0.003443656
0.00019;0.003653848
0.000191;0.003866027
0.000192;0.004157806
0.000193;0.003811279
0.000194;0.003158661
0.000195;0.003791177
0.000196;0.00398482
0.000197;0.003978896
0.000198;0.003922639
0.000199;0.004516047
0.0002;0.004319585
0.000201;0.004604962
0.000202;0.004688183
0.000203;0.004700757
0.000204;0.004953209
0.000205;0.004770315
0.000206;0.004772942
0.000207;0.004262783
0.000208;0.004249043
0.000209;0.004765986
0.00021;0.004307059
0.000211;0.004355205
0.000212;0.003927597
0.000213;0.004061725
0.000214;0.004541501
0.000215;0.003928304
0.000216;0.003918731
0.000217;0.004129744
0.000218;0.004881053
0.000219;0.004072608
0.00022;0.003991804
0.000221;0.003825669
0.000222;0.003824618
0.000223;0.003868149
0.000224;0.00395542
0.000225;0.004127996
0.000226;0.003723845
0.000227;0.003361534
0.000228;0.00355726
0.000229;0.003762159
0.00023;0.003291671
0.000231;0.002663378
0.000232;0.002733662
0.000233;0.002782228
0.000234;0.003058691
0.000235;0.002808303
0.000236;0.003139791
0.000237;0.003249564
0.000238;0.003120261
0.000239;0.003160075
0.00024;0.002945822
0.000241;0.003024505
0.000242;0.003178926
0.000243;0.00346996
0.000244;0.003426486
0.000245;0.003436824
0.000246;0.003033715
0.000247;0.002940596
0.000248;0.00262774
0.000249;0.002702934
0.00025;0.003213686
0.000251;0.003285174
0.000252;0.003040642
0.000253;0.003241108
0.000254;0.003162607
0.000255;0.003395443
0.000256;0.003392749
0.000257;0.002942641
0.000258;0.003364945
0.000259;0.003078536
0.00026;0.003071294
0.000261;0.003210562
0.000262;0.00318529
0.000263;0.003161909
0.000264;0.003303643
0.000265;0.00318421
0.000266;0.002782371
0.000267;0.002770247
0.000268;0.003543349
0.000269;0.00330413
0.00027;0.003705166
0.000271;0.004084866
0.000272;0.003336702
0.000273;0.002808599
0.000274;0.003039677
0.000275;0.003432678
0.000276;0.004161007
0.000277;0.003888395
0.000278;0.003547047
0.000279;0.003323879
0.00028;0.003024657
0.000281;0.003544505
0.000282;0.003961621
0.000283;0.003481569
0.000284;0.003593281
0.000285;0.003719737
0.000286;0.003566041
0.000287;0.003603887
0.000288;0.003436251
0.000289;0.003330806
0.00029;0.003455962
0.000291;0.003325905
0.000292;0.003333931
0.000293;0.003337313
0.000294;0.003293295
0.000295;0.003090565
0.000296;0.003558283
0.000297;0.003414342
0.000298;0.003867403
0.000299;0.00343693
0.0003;0.003590243
0.000301;0.003210313
0.000302;0.004032421
0.000303;0.003319675
0.000304;0.003611636
0.000305;0.003521593
0.000306;0.003342969
0.000307;0.00312049
0.000308;0.002962533
0.000309;0.003209157
0.00031;0.003208316
0.000311;0.003221588
0.000312;0.003598403
0.000313;0.003366245
0.000314;0.003367573
0.000315;0.003808872
0.000316;0.004196474
0.000317;0.00355877
0.000318;0.003467361
0.000319;0.003364171
