x [m],y [m]
0,0.0036878816
1e-06,0.004197372
2e-06,0.0042072801
3e-06,0.0042413805
4e-06,0.0045154165
5e-06,0.0048981362
6e-06,0.004772665
7e-06,0.0043573545
8e-06,0.0048147053
9e-06,0.0043439971
1e-05,0.0042110064
1.1e-05,0.0047812259
1.2e-05,0.0042525403
1.3e-05,0.003772096
1.4e-05,0.0042653817
1.5e-05,0.0041304036
1.6e-05,0.0044501489
1.7e-05,0.0039908107
1.8e-05,0.0045003393
1.9e-05,0.0045462206
2e-05,0.0048370154
2.1e-05,0.0048785206
2.2e-05,0.0050193939
2.3e-05,0.0048456814
2.4e-05,0.0046984161
2.5e-05,0.0043946748
2.6e-05,0.0045398285
2.7e-05,0.0047474599
2.8e-05,0.0045525935
2.9e-05,0.0045065785
3e-05,0.004840971
3.1e-05,0.0047076936
3.2e-05,0.0044814498
3.3e-05,0.0045188657
3.4e-05,0.0045101519
3.5e-05,0.0040535081
3.6e-05,0.0045007788
3.7e-05,0.0043191169
3.8e-05,0.0047637983
3.9e-05,0.0045344684
4e-05,0.0042557125
4.1e-05,0.0041974293
4.2e-05,0.0041997988
4.3e-05,0.0040408004
4.4e-05,0.0040305388
4.5e-05,0.0038748654
4.6e-05,0.0037704908
4.7e-05,0.0038297198
4.8e-05,0.0043004567
4.9e-05,0.004438712
5e-05,0.0042465305
5.1e-05,0.0042628115
5.2e-05,0.0044334952
5.3e-05,0.0043209036
5.4e-05,0.0045768814
5.5e-05,0.004396366
5.6e-05,0.0043596953
5.7e-05,0.0046167623
5.8e-05,0.0045774355
5.9e-05,0.0039824791
6e-05,0.0046153482
6.1e-05,0.0050221265
6.2e-05,0.0044500343
6.3e-05,0.0043260918
6.4e-05,0.0041732179
6.5e-05,0.0047515206
6.6e-05,0.0046650036
6.7e-05,0.0047502021
6.8e-05,0.0047274717
6.9e-05,0.0043759191
7e-05,0.0044912529
7.1e-05,0.0046192656
7.2e-05,0.0044139178
7.3e-05,0.004020602
7.4e-05,0.0037668696
7.5e-05,0.0042149047
7.6e-05,0.00395929
7.7e-05,0.0047959114
7.8e-05,0.0041422323
7.9e-05,0.0040824204
8e-05,0.0045103526
8.1e-05,0.004440814
8.2e-05,0.0040785221
8.3e-05,0.004564145
8.4e-05,0.0046736505
8.5e-05,0.0043299805
8.6e-05,0.0043324838
8.7e-05,0.0038156459
8.8e-05,0.0036675875
8.9e-05,0.0037293581
9e-05,0.0038548676
9.1e-05,0.0044183989
9.2e-05,0.0051078314
9.3e-05,0.0046708032
9.4e-05,0.004142366
9.5e-05,0.0038057186
9.6e-05,0.0043430034
9.7e-05,0.0044876699
9.8e-05,0.0047371027
9.9e-05,0.0043956303
0.0001,0.0040563458
0.000101,0.004545074
0.000102,0.004320894
0.000103,0.0042230357
0.000104,0.004280392
0.000105,0.0042181055
0.000106,0.0043774383
0.000107,0.0044716755
0.000108,0.0047791813
0.000109,0.004849809
0.00011,0.0044346418
0.000111,0.0046066344
0.000112,0.0043494528
0.000113,0.0041643034
0.000114,0.0043624949
0.000115,0.0038487526
0.000116,0.0039786286
0.000117,0.0040603301
0.000118,0.0045007119
0.000119,0.0045960001
0.00012,0.0049602795
0.000121,0.0044669746
0.000122,0.0040853441
0.000123,0.0039886322
0.000124,0.0039592422
0.000125,0.0038898471
0.000126,0.0036427933
0.000127,0.0041615995
0.000128,0.0042294086
0.000129,0.0046961707
0.00013,0.004812116
0.000131,0.0048203999
0.000132,0.0046130169
0.000133,0.0044676339
0.000134,0.0042848063
0.000135,0.0046063478
0.000136,0.0045261463
0.000137,0.0041331554
0.000138,0.0045370099
0.000139,0.0040272998
0.00014,0.0044893897
0.000141,0.0047858695
0.000142,0.00462239
0.000143,0.0042341286
0.000144,0.0039691313
0.000145,0.0039297758
0.000146,0.0040339785
0.000147,0.0042213349
0.000148,0.0047292966
0.000149,0.0046944414
0.00015,0.0050465577
0.000151,0.0049235802
0.000152,0.004428995
0.000153,0.0039164089
0.000154,0.0043514784
0.000155,0.0050746865
0.000156,0.0047121078
0.000157,0.0050814129
0.000158,0.0044478176
0.000159,0.0047669513
0.00016,0.0043495675
0.000161,0.0043599724
0.000162,0.0040975549
0.000163,0.0041706859
0.000164,0.0045723907
0.000165,0.0050414364
0.000166,0.0047585051
0.000167,0.0046845141
0.000168,0.0042072514
0.000169,0.0041857344
0.00017,0.0042521295
0.000171,0.0039986073
0.000172,0.0037975972
0.000173,0.0039073511
0.000174,0.0046627391
0.000175,0.0043571634
0.000176,0.0047808915
0.000177,0.0046667234
0.000178,0.0046246353
0.000179,0.0045272356
0.00018,0.0043090177
0.000181,0.0041146194
0.000182,0.0041666825
0.000183,0.0050769796
0.000184,0.0049180767
0.000185,0.004988542
0.000186,0.0049701303
0.000187,0.0044734908
0.000188,0.0042896027
0.000189,0.0046674687
0.00019,0.0043000745
0.000191,0.0037564646
0.000192,0.0036333916
0.000193,0.0039488373
0.000194,0.0045241685
0.000195,0.0042276601
0.000196,0.0038053269
0.000197,0.004057072
0.000198,0.0040697414
0.000199,0.0043368216
0.0002,0.00434222
0.000201,0.0037426295
0.000202,0.0039166955
0.000203,0.0042935201
0.000204,0.0040899972
0.000205,0.0037244089
0.000206,0.0039335021
0.000207,0.0040625754
0.000208,0.0042676175
0.000209,0.0044088443
0.00021,0.0044516776
0.000211,0.0041730077
0.000212,0.0047864619
0.000213,0.0045465263
0.000214,0.0042235898
0.000215,0.0039721123
0.000216,0.0036817284
0.000217,0.0036885408
0.000218,0.0046736983
0.000219,0.0047121174
0.00022,0.0042970744
0.000221,0.0038336086
0.000222,0.0040001456
0.000223,0.0041087338
0.000224,0.0041155271
0.000225,0.0042052641
0.000226,0.0040287616
0.000227,0.0044216093
0.000228,0.0050166517
0.000229,0.0045415197
0.00023,0.0037006274
0.000231,0.0037428588
0.000232,0.0037174722
0.000233,0.0038356437
0.000234,0.0039919381
0.000235,0.0041645232
0.000236,0.0045346977
0.000237,0.0045973091
0.000238,0.0047481956
0.000239,0.0045869615
0.00024,0.0045276942
0.000241,0.0044333041
0.000242,0.0042435112
0.000243,0.0045422459
0.000244,0.0044451136
0.000245,0.0042619612
0.000246,0.0043567812
0.000247,0.004473424
0.000248,0.0043768841
0.000249,0.0041407131
0.00025,0.0039640673
0.000251,0.0041516149
0.000252,0.003709217
0.000253,0.0039381934
0.000254,0.0040900832
0.000255,0.0042626682
0.000256,0.004128894
0.000257,0.0037801123
0.000258,0.0039644973
0.000259,0.0038938695
0.00026,0.0041267442
0.000261,0.0041218332
0.000262,0.0041676667
0.000263,0.0038797956
0.000264,0.0040429216
0.000265,0.0041841579
0.000266,0.0040027731
0.000267,0.0040303381
0.000268,0.0043138523
0.000269,0.0038335608
0.00027,0.0043233878
0.000271,0.0041860211
0.000272,0.0047580656
0.000273,0.004352816
0.000274,0.0036898211
0.000275,0.0035699394
0.000276,0.0033700186
0.000277,0.0037688092
0.000278,0.0040437815
0.000279,0.0043718679
0.00028,0.0042010123
0.000281,0.0042540404
0.000282,0.0043488795
