x [m],y [m]
0,0.0047412017
1e-06,0.0050415988
2e-06,0.0051448842
3e-06,0.0051458015
4e-06,0.005417831
5e-06,0.0057930599
6e-06,0.0056933766
7e-06,0.0053199917
8e-06,0.0052506347
9e-06,0.0055254637
1e-05,0.0047902933
1.1e-05,0.0053856892
1.2e-05,0.0059399239
1.3e-05,0.0059861014
1.4e-05,0.0056814333
1.5e-05,0.0051944536
1.6e-05,0.0043820054
1.7e-05,0.0045121679
1.8e-05,0.0038308186
1.9e-05,0.0047009863
2e-05,0.0051591015
2.1e-05,0.0051874405
2.2e-05,0.0053558788
2.3e-05,0.0048727783
2.4e-05,0.0046497449
2.5e-05,0.0052543037
2.6e-05,0.0047529634
2.7e-05,0.0047614192
2.8e-05,0.0044749527
2.9e-05,0.0043370031
3e-05,0.0048028767
3.1e-05,0.0046390628
3.2e-05,0.0041347797
3.3e-05,0.0045758112
3.4e-05,0.0044865998
3.5e-05,0.0044374317
3.6e-05,0.0042428233
3.7e-05,0.0041526946
3.8e-05,0.0042669965
3.9e-05,0.0045663808
4e-05,0.0053034813
4.1e-05,0.004772665
4.2e-05,0.0040496671
4.3e-05,0.0038905254
4.4e-05,0.0041042622
4.5e-05,0.0040103977
4.6e-05,0.0038383094
4.7e-05,0.0044154752
4.8e-05,0.0043232254
4.9e-05,0.0037443016
5e-05,0.0036106994
5.1e-05,0.0037040193
5.2e-05,0.0035049871
5.3e-05,0.0040427783
5.4e-05,0.0037699079
5.5e-05,0.0038985322
5.6e-05,0.0038719704
5.7e-05,0.0045960861
5.8e-05,0.0043730718
5.9e-05,0.0044011624
6e-05,0.0043867063
6.1e-05,0.0047941056
6.2e-05,0.0048241931
6.3e-05,0.0043033136
6.4e-05,0.0041564113
6.5e-05,0.0045165153
6.6e-05,0.0043060557
6.7e-05,0.0041650296
6.8e-05,0.0043502936
6.9e-05,0.0042942749
7e-05,0.0038034829
7.1e-05,0.0040482626
7.2e-05,0.0043370987
7.3e-05,0.0040350104
7.4e-05,0.0039247119
7.5e-05,0.0040290483
7.6e-05,0.0039974512
7.7e-05,0.0043205501
7.8e-05,0.0036568673
7.9e-05,0.003686821
8e-05,0.0036343566
8.1e-05,0.0035970936
8.2e-05,0.0036308405
8.3e-05,0.0038902006
8.4e-05,0.0036728808
8.5e-05,0.0036629727
8.6e-05,0.0040161209
8.7e-05,0.0044375177
8.8e-05,0.0037151695
8.9e-05,0.004068442
9e-05,0.0040463039
9.1e-05,0.0042779747
9.2e-05,0.003935499
9.3e-05,0.004121537
9.4e-05,0.0040743754
9.5e-05,0.00431712
9.6e-05,0.0044319951
9.7e-05,0.0036768555
9.8e-05,0.0036531601
9.9e-05,0.0036799799
0.0001,0.0045391311
0.000101,0.0041553794
0.000102,0.0042072037
0.000103,0.0041114091
0.000104,0.0033895291
0.000105,0.003818646
0.000106,0.0041741925
0.000107,0.0037252592
0.000108,0.0040361187
0.000109,0.0041425571
0.00011,0.0043029027
0.000111,0.0047441349
0.000112,0.0044293676
0.000113,0.0046922534
0.000114,0.0042220706
0.000115,0.0037857591
0.000116,0.0037256318
0.000117,0.0034113136
0.000118,0.0039364449
0.000119,0.0039434962
0.00012,0.0042429284
0.000121,0.0042431577
0.000122,0.0040658335
0.000123,0.0039360627
0.000124,0.004752887
0.000125,0.0040838822
0.000126,0.0042354089
0.000127,0.0041407226
0.000128,0.0038616514
0.000129,0.0041922698
0.00013,0.004940511
0.000131,0.0047010914
0.000132,0.0040708115
0.000133,0.0039621946
0.000134,0.0039223232
0.000135,0.0035997402
0.000136,0.0042013467
0.000137,0.0040139615
0.000138,0.0039820587
0.000139,0.0038884425
0.00014,0.0036017467
0.000141,0.0037389796
0.000142,0.0042924117
0.000143,0.0042741815
0.000144,0.0044865616
0.000145,0.0043450099
0.000146,0.0044523751
0.000147,0.0042185737
0.000148,0.0041499333
0.000149,0.0047082478
0.00015,0.0050960124
0.000151,0.0040887933
0.000152,0.0047802036
0.000153,0.0047601007
0.000154,0.0045791649
0.000155,0.0046397507
0.000156,0.0046123768
0.000157,0.004554084
0.000158,0.0046057172
0.000159,0.003887382
0.00016,0.0042317113
0.000161,0.0044967659
0.000162,0.0043716577
0.000163,0.0045333792
0.000164,0.0045103048
0.000165,0.0045605621
0.000166,0.0038973188
0.000167,0.0045465837
0.000168,0.0040209651
0.000169,0.0042829049
0.00017,0.0041942667
0.000171,0.0045269776
0.000172,0.0048905785
0.000173,0.0044995941
0.000174,0.0042213063
0.000175,0.0040670374
0.000176,0.0045159038
0.000177,0.0053761824
0.000178,0.0048948112
0.000179,0.0042628689
0.00018,0.0048509842
0.000181,0.0052321943
0.000182,0.0046552961
0.000183,0.0045391693
0.000184,0.0046565477
0.000185,0.0050155338
0.000186,0.0046677266
0.000187,0.0050288052
0.000188,0.0052983314
0.000189,0.0052166967
0.00019,0.0049072418
0.000191,0.005213324
0.000192,0.0051022611
0.000193,0.0052092346
0.000194,0.0047513391
0.000195,0.0043245152
0.000196,0.0046611626
0.000197,0.0050920854
0.000198,0.0052560809
0.000199,0.0050090749
0.0002,0.0046346581
0.000201,0.00452521
0.000202,0.0046744053
0.000203,0.0048809761
0.000204,0.0051168223
0.000205,0.0049754904
0.000206,0.0042922398
0.000207,0.0039253138
0.000208,0.0043630299
0.000209,0.004437403
0.00021,0.0043864005
0.000211,0.0047263442
0.000212,0.0043094858
0.000213,0.0044615667
0.000214,0.0042409315
0.000215,0.0040440586
0.000216,0.0042001332
0.000217,0.0041511849
0.000218,0.0045530617
0.000219,0.0046918998
0.00022,0.0042233892
0.000221,0.0040910195
0.000222,0.0044102488
0.000223,0.0050224705
0.000224,0.0041801354
0.000225,0.0045462206
0.000226,0.0042149238
0.000227,0.004088048
0.000228,0.0046182337
0.000229,0.0042482503
0.00023,0.0041710012
0.000231,0.0041519302
0.000232,0.0040232582
0.000233,0.0046999639
0.000234,0.0044611558
0.000235,0.0045053173
0.000236,0.0042420111
0.000237,0.004205866
0.000238,0.0043717437
0.000239,0.0044734908
0.00024,0.0047932743
0.000241,0.0043971686
0.000242,0.0044762903
0.000243,0.0042091624
0.000244,0.0040154234
0.000245,0.0034627843
0.000246,0.0037145963
0.000247,0.0038843436
0.000248,0.004092147
0.000249,0.003900338
0.00025,0.0041423278
0.000251,0.0041337478
0.000252,0.0041125461
0.000253,0.0036952004
0.000254,0.003498318
0.000255,0.0037426582
0.000256,0.0039896832
0.000257,0.0040759041
0.000258,0.0042563717
0.000259,0.0044323391
0.00026,0.004699448
0.000261,0.004509827
0.000262,0.0047897964
0.000263,0.0044094367
0.000264,0.0049209336
0.000265,0.0044050225
0.000266,0.0048505447
0.000267,0.0048301169
0.000268,0.0042148091
0.000269,0.0045624921
0.00027,0.0040311598
0.000271,0.0045433351
0.000272,0.004539026
0.000273,0.0049441608
0.000274,0.0046362537
0.000275,0.0044942435
0.000276,0.0043358948
0.000277,0.0050536567
0.000278,0.0047608842
0.000279,0.0044412727
0.00028,0.0042944564
0.000281,0.0044125515
